Откуда	откуда	ADV	Degree=Pos
последние	последний	ADJ	Case=Nom|Degree=Pos|Number=Plur
последние	последний	ADJ	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur
искусственный	искусственный	ADJ	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
службам	служба	NOUN	Animacy=Inan|Case=Dat|Gender=Fem|Number=Plur
ресурсом	ресурс	NOUN	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing
открытой	открытый	ADJ	Case=Ins|Degree=Pos|Gender=Fem|Number=Sing
приведет	привести	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act
игр	игра	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
вершин	вершина	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
захоронения	захоронение	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
устроены	устроить	VERB	Aspect=Perf|Number=Plur|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass
Латинской	Латинский	PROPN	_
регламент	регламент	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
ракета	ракета	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
редко	редко	ADV	Degree=Pos
зрелости	зрелость	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
собственных	собственный	ADJ	Case=Gen|Degree=Pos|Number=Plur
собственных	собственный	ADJ	Case=Loc|Degree=Pos|Number=Plur
телу	тело	NOUN	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
коммунистической	коммунистический	ADJ	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
привела	привести	VERB	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
составят	составить	VERB	Aspect=Perf|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act
повреждения	повреждение	NOUN	Animacy=Inan|Case=Acc|Gender=Neut|Number=Plur
самка	самка	NOUN	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
образцов	образец	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
По-моему	по-моему	ADV	Degree=Pos
статьей	статья	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
верили	верить	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act
Теперь	теперь	ADV	Degree=Pos
столкнуться	столкнуться	VERB	Aspect=Perf|VerbForm=Inf|Voice=Mid
диктатуре	диктатура	NOUN	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing
Шагал	Шагал	PROPN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
сообщество	сообщество	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
сообщество	сообщество	NOUN	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
Думой	Дума	PROPN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
взором	взор	NOUN	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing
какими-то	какой-то	DET	Case=Ins|Number=Plur
сколь	сколь	ADV	Degree=Pos
предметам	предмет	NOUN	Animacy=Inan|Case=Dat|Gender=Masc|Number=Plur
несправедливости	несправедливость	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
сложившейся	сложиться	VERB	Aspect=Perf|Case=Gen|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid
добросовестно	добросовестно	ADV	Degree=Pos
личной	личный	ADJ	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
личной	личный	ADJ	Case=Loc|Degree=Pos|Gender=Fem|Number=Sing
происходили	происходить	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act
главных	главный	ADJ	Case=Gen|Degree=Pos|Number=Plur
тон	тон	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
Позже	поздно	ADV	Degree=Cmp
Позже	позже	ADV	Degree=Pos
Милов	Милов	PROPN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
осенью	осень	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
арабских	арабский	ADJ	Case=Loc|Degree=Pos|Number=Plur
арабских	арабский	ADJ	Case=Gen|Degree=Pos|Number=Plur
хотелось	хотеться	VERB	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
ею	она	PRON	Case=Ins|Gender=Fem|Number=Sing|Person=3
собак	собака	NOUN	Animacy=Anim|Case=Gen|Gender=Fem|Number=Plur
площадки	площадка	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
Утром	утро	NOUN	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing
